id,matchNo,kickoffText,kickoffWib,resultFetchAfterWib,group,homeTeam,awayTeam,location
M001,1,"12 Jun 2026, 02:00, A",2026-06-12T02:00:00+07:00,2026-06-12T03:40:00+07:00,A,Meksiko,Afrika Selatan,Mexico City
M002,2,"12 Jun 2026, 09:00, A",2026-06-12T09:00:00+07:00,2026-06-12T10:40:00+07:00,A,Korea Selatan,Ceko,Zapopan
M003,3,"13 Jun 2026, 02:00, B",2026-06-13T02:00:00+07:00,2026-06-13T03:40:00+07:00,B,Kanada,Bosnia dan Herzegovina,Toronto
M004,4,"13 Jun 2026, 08:00, D",2026-06-13T08:00:00+07:00,2026-06-13T09:40:00+07:00,D,Amerika Serikat,Paraguay,Inglewood
M005,5,"14 Jun 2026, 08:00, C",2026-06-14T08:00:00+07:00,2026-06-14T09:40:00+07:00,C,Haiti,Skotlandia,Foxborough
M006,6,"14 Jun 2026, 11:00, D",2026-06-14T11:00:00+07:00,2026-06-14T12:40:00+07:00,D,Australia,Turki,Vancouver
M007,7,"14 Jun 2026, 05:00, C",2026-06-14T05:00:00+07:00,2026-06-14T06:40:00+07:00,C,Brasil,Maroko,East Rutherford
M008,8,"14 Jun 2026, 02:00, B",2026-06-14T02:00:00+07:00,2026-06-14T03:40:00+07:00,B,Qatar,Swiss,Santa Clara
M009,9,"15 Jun 2026, 06:00, E",2026-06-15T06:00:00+07:00,2026-06-15T07:40:00+07:00,E,Pantai Gading,Ekuador,Philadelphia
M010,10,"15 Jun 2026, 00:00, E",2026-06-15T00:00:00+07:00,2026-06-15T01:40:00+07:00,E,Jerman,Curacao,Houston
M011,11,"15 Jun 2026, 03:00, F",2026-06-15T03:00:00+07:00,2026-06-15T04:40:00+07:00,F,Belanda,Jepang,Arlington
M012,12,"15 Jun 2026, 09:00, F",2026-06-15T09:00:00+07:00,2026-06-15T10:40:00+07:00,F,Swedia,Tunisia,Guadalupe
M013,13,"16 Jun 2026, 05:00, H",2026-06-16T05:00:00+07:00,2026-06-16T06:40:00+07:00,H,Arab Saudi,Uruguay,Miami Gardens
M014,14,"15 Jun 2026, 23:00, H",2026-06-15T23:00:00+07:00,2026-06-16T00:40:00+07:00,H,Spanyol,Tanjung Verde,Atlanta
M015,15,"16 Jun 2026, 08:00, G",2026-06-16T08:00:00+07:00,2026-06-16T09:40:00+07:00,G,Iran,Selandia Baru,Inglewood
M016,16,"16 Jun 2026, 02:00, G",2026-06-16T02:00:00+07:00,2026-06-16T03:40:00+07:00,G,Belgia,Mesir,Seattle
M017,17,"17 Jun 2026, 02:00, I",2026-06-17T02:00:00+07:00,2026-06-17T03:40:00+07:00,I,Prancis,Senegal,East Rutherford
M018,18,"17 Jun 2026, 05:00, I",2026-06-17T05:00:00+07:00,2026-06-17T06:40:00+07:00,I,Irak,Norwegia,Foxborough
M019,19,"17 Jun 2026, 08:00, J",2026-06-17T08:00:00+07:00,2026-06-17T09:40:00+07:00,J,Argentina,Aljazair,Kansas City
M020,20,"17 Jun 2026, 11:00, J",2026-06-17T11:00:00+07:00,2026-06-17T12:40:00+07:00,J,Austria,Yordania,Santa Clara
M021,21,"18 Jun 2026, 06:00, L",2026-06-18T06:00:00+07:00,2026-06-18T07:40:00+07:00,L,Ghana,Panama,Toronto
M022,22,"18 Jun 2026, 03:00, L",2026-06-18T03:00:00+07:00,2026-06-18T04:40:00+07:00,L,Inggris,Kroasia,Arlington
M023,23,"18 Jun 2026, 00:00, K",2026-06-18T00:00:00+07:00,2026-06-18T01:40:00+07:00,K,Portugal,RD Kongo,Houston
M024,24,"18 Jun 2026, 09:00, K",2026-06-18T09:00:00+07:00,2026-06-18T10:40:00+07:00,K,Uzbekistan,Kolombia,Mexico City
M025,25,"18 Jun 2026, 23:00, A",2026-06-18T23:00:00+07:00,2026-06-19T00:40:00+07:00,A,Ceko,Afrika Selatan,Atlanta
M026,26,"19 Jun 2026, 02:00, B",2026-06-19T02:00:00+07:00,2026-06-19T03:40:00+07:00,B,Swiss,Bosnia dan Herzegovina,Inglewood
M027,27,"19 Jun 2026, 05:00, B",2026-06-19T05:00:00+07:00,2026-06-19T06:40:00+07:00,B,Kanada,Qatar,Vancouver
M028,28,"19 Jun 2026, 08:00, A",2026-06-19T08:00:00+07:00,2026-06-19T09:40:00+07:00,A,Meksiko,Korea Selatan,Zapopan
M029,29,"20 Jun 2026, 08:00, C",2026-06-20T08:00:00+07:00,2026-06-20T09:40:00+07:00,C,Brasil,Haiti,Philadelphia
M030,30,"20 Jun 2026, 05:00, C",2026-06-20T05:00:00+07:00,2026-06-20T06:40:00+07:00,C,Skotlandia,Maroko,Foxborough
M031,31,"20 Jun 2026, 11:00, D",2026-06-20T11:00:00+07:00,2026-06-20T12:40:00+07:00,D,Turki,Paraguay,Santa Clara
M032,32,"20 Jun 2026, 02:00, D",2026-06-20T02:00:00+07:00,2026-06-20T03:40:00+07:00,D,Amerika Serikat,Australia,Seattle
M033,33,"21 Jun 2026, 03:00, E",2026-06-21T03:00:00+07:00,2026-06-21T04:40:00+07:00,E,Jerman,Pantai Gading,Toronto
M034,34,"21 Jun 2026, 07:00, E",2026-06-21T07:00:00+07:00,2026-06-21T08:40:00+07:00,E,Ekuador,Curacao,Kansas City
M035,35,"21 Jun 2026, 00:00, F",2026-06-21T00:00:00+07:00,2026-06-21T01:40:00+07:00,F,Belanda,Swedia,Houston
M036,36,"21 Jun 2026, 11:00, F",2026-06-21T11:00:00+07:00,2026-06-21T12:40:00+07:00,F,Tunisia,Jepang,Guadalupe
M037,37,"22 Jun 2026, 05:00, H",2026-06-22T05:00:00+07:00,2026-06-22T06:40:00+07:00,H,Uruguay,Tanjung Verde,Miami Gardens
M038,38,"21 Jun 2026, 23:00, H",2026-06-21T23:00:00+07:00,2026-06-22T00:40:00+07:00,H,Spanyol,Arab Saudi,Atlanta
M039,39,"22 Jun 2026, 02:00, G",2026-06-22T02:00:00+07:00,2026-06-22T03:40:00+07:00,G,Belgia,Iran,Inglewood
M040,40,"22 Jun 2026, 08:00, G",2026-06-22T08:00:00+07:00,2026-06-22T09:40:00+07:00,G,Selandia Baru,Mesir,Vancouver
M041,41,"23 Jun 2026, 07:00, I",2026-06-23T07:00:00+07:00,2026-06-23T08:40:00+07:00,I,Norwegia,Senegal,East Rutherford
M042,42,"23 Jun 2026, 04:00, I",2026-06-23T04:00:00+07:00,2026-06-23T05:40:00+07:00,I,Prancis,Irak,Philadelphia
M043,43,"23 Jun 2026, 00:00, J",2026-06-23T00:00:00+07:00,2026-06-23T01:40:00+07:00,J,Yordania,Aljazair,Arlington
M044,44,"23 Jun 2026, 10:00, J",2026-06-23T10:00:00+07:00,2026-06-23T11:40:00+07:00,J,Argentina,Austria,Santa Clara
M045,45,"24 Jun 2026, 03:00, L",2026-06-24T03:00:00+07:00,2026-06-24T04:40:00+07:00,L,Inggris,Ghana,Foxborough
M046,46,"24 Jun 2026, 06:00, L",2026-06-24T06:00:00+07:00,2026-06-24T07:40:00+07:00,L,Panama,Kroasia,Toronto
M047,47,"24 Jun 2026, 00:00, K",2026-06-24T00:00:00+07:00,2026-06-24T01:40:00+07:00,K,Portugal,Uzbekistan,Houston
M048,48,"24 Jun 2026, 09:00, K",2026-06-24T09:00:00+07:00,2026-06-24T10:40:00+07:00,K,Kolombia,RD Kongo,Zapopan
M049,49,"25 Jun 2026, 05:00, C",2026-06-25T05:00:00+07:00,2026-06-25T06:40:00+07:00,C,Skotlandia,Brasil,Miami Gardens
M050,50,"25 Jun 2026, 05:00, C",2026-06-25T05:00:00+07:00,2026-06-25T06:40:00+07:00,C,Maroko,Haiti,Atlanta
M051,51,"25 Jun 2026, 02:00, B",2026-06-25T02:00:00+07:00,2026-06-25T03:40:00+07:00,B,Swiss,Kanada,Vancouver
M052,52,"25 Jun 2026, 02:00, B",2026-06-25T02:00:00+07:00,2026-06-25T03:40:00+07:00,B,Bosnia dan Herzegovina,Qatar,Seattle
M053,53,"25 Jun 2026, 08:00, A",2026-06-25T08:00:00+07:00,2026-06-25T09:40:00+07:00,A,Ceko,Meksiko,Mexico City
M054,54,"25 Jun 2026, 08:00, A",2026-06-25T08:00:00+07:00,2026-06-25T09:40:00+07:00,A,Afrika Selatan,Korea Selatan,Guadalupe
M055,55,"26 Jun 2026, 03:00, E",2026-06-26T03:00:00+07:00,2026-06-26T04:40:00+07:00,E,Curacao,Pantai Gading,Philadelphia
M056,56,"26 Jun 2026, 03:00, E",2026-06-26T03:00:00+07:00,2026-06-26T04:40:00+07:00,E,Ekuador,Jerman,East Rutherford
M057,57,"26 Jun 2026, 06:00, F",2026-06-26T06:00:00+07:00,2026-06-26T07:40:00+07:00,F,Jepang,Swedia,Arlington
M058,58,"26 Jun 2026, 06:00, F",2026-06-26T06:00:00+07:00,2026-06-26T07:40:00+07:00,F,Tunisia,Belanda,Kansas City
M059,59,"26 Jun 2026, 09:00, D",2026-06-26T09:00:00+07:00,2026-06-26T10:40:00+07:00,D,Turki,Amerika Serikat,Inglewood
M060,60,"26 Jun 2026, 09:00, D",2026-06-26T09:00:00+07:00,2026-06-26T10:40:00+07:00,D,Paraguay,Australia,Santa Clara
M061,61,"27 Jun 2026, 02:00, I",2026-06-27T02:00:00+07:00,2026-06-27T03:40:00+07:00,I,Norwegia,Prancis,Foxborough
M062,62,"27 Jun 2026, 02:00, I",2026-06-27T02:00:00+07:00,2026-06-27T03:40:00+07:00,I,Senegal,Irak,Toronto
M063,63,"27 Jun 2026, 10:00, G",2026-06-27T10:00:00+07:00,2026-06-27T11:40:00+07:00,G,Mesir,Iran,Seattle
M064,64,"27 Jun 2026, 10:00, G",2026-06-27T10:00:00+07:00,2026-06-27T11:40:00+07:00,G,Selandia Baru,Belgia,Vancouver
M065,65,"26 Jun 2026, 07:00, H",2026-06-26T07:00:00+07:00,2026-06-26T08:40:00+07:00,H,Tanjung Verde,Arab Saudi,Houston
M066,66,"26 Jun 2026, 07:00, H",2026-06-26T07:00:00+07:00,2026-06-26T08:40:00+07:00,H,Uruguay,Spanyol,Guadalupe
M067,67,"28 Jun 2026, 04:00, L",2026-06-28T04:00:00+07:00,2026-06-28T05:40:00+07:00,L,Panama,Inggris,East Rutherford
M068,68,"28 Jun 2026, 04:00, L",2026-06-28T04:00:00+07:00,2026-06-28T05:40:00+07:00,L,Kroasia,Ghana,Philadelphia
M069,69,"28 Jun 2026, 09:00, J",2026-06-28T09:00:00+07:00,2026-06-28T10:40:00+07:00,J,Yordania,Argentina,Kansas City
M070,70,"28 Jun 2026, 09:00, J",2026-06-28T09:00:00+07:00,2026-06-28T10:40:00+07:00,J,Aljazair,Austria,Arlington
M071,71,"28 Jun 2026, 06:30, K",2026-06-28T06:30:00+07:00,2026-06-28T08:10:00+07:00,K,Kolombia,Portugal,Miami Gardens
M072,72,"28 Jun 2026, 06:30, K",2026-06-28T06:30:00+07:00,2026-06-28T08:10:00+07:00,K,RD Kongo,Uzbekistan,Atlanta
M073,73,"28 Jun 2026, 14:00, R32",2026-06-29T04:00:00+07:00,2026-06-29T05:40:00+07:00,R32,Afrika Selatan,Kanada,"Los Angeles Stadium, Los Angeles"
M074,74,"29 Jun 2026, 15:00, R32",2026-06-30T02:00:00+07:00,2026-06-30T03:40:00+07:00,R32,Jerman,Paraguay,"Boston Stadium, Boston"
M075,75,"29 Jun 2026, 19:00, R32",2026-06-30T08:00:00+07:00,2026-06-30T09:40:00+07:00,R32,Belanda,Maroko,"Monterrey Stadium, Monterrey"
M076,76,"30 Jun 2026, 00:00, R32",2026-06-30T00:00:00+07:00,2026-06-30T01:40:00+07:00,R32,Brasil,Jepang,"Houston Stadium, Houston"
M077,77,"30 Jun 2026, 17:00, R32",2026-07-01T05:00:00+07:00,2026-07-01T06:40:00+07:00,R32,Prancis,Swedia,"New York New Jersey Stadium, New York/New Jersey"
M078,78,"30 Jun 2026, 12:00, R32",2026-07-01T00:00:00+07:00,2026-07-01T01:40:00+07:00,R32,Pantai Gading,Norwegia,"Dallas Stadium, Arlington"
M079,79,"30 Jun 2026, 20:00, R32",2026-07-01T09:00:00+07:00,2026-07-01T10:40:00+07:00,R32,Meksiko,Ekuador,"Mexico City Stadium, Mexico City"
M080,80,"1 Jul 2026, 12:00, R32",2026-07-02T00:00:00+07:00,2026-07-02T01:40:00+07:00,R32,Inggris,RD Kongo,"Atlanta Stadium, Atlanta"
M081,81,"1 Jul 2026, 17:00, R32",2026-07-02T08:00:00+07:00,2026-07-02T09:40:00+07:00,R32,Amerika Serikat,Bosnia dan Herzegovina,"San Francisco Bay Area Stadium, Santa Clara"
M082,82,"1 Jul 2026, 14:00, R32",2026-07-02T04:00:00+07:00,2026-07-02T05:40:00+07:00,R32,Belgia,Senegal,"Seattle Stadium, Seattle"
M083,83,"2 Jul 2026, 19:00, R32",2026-07-03T07:00:00+07:00,2026-07-03T08:40:00+07:00,R32,Portugal,Kroasia,"Toronto Stadium, Toronto"
M084,84,"2 Jul 2026, 12:00, R32",2026-07-03T02:00:00+07:00,2026-07-03T03:40:00+07:00,R32,Spanyol,Austria,"Los Angeles Stadium, Los Angeles"
M085,85,"2 Jul 2026, 19:00, R32",2026-07-03T09:00:00+07:00,2026-07-03T10:40:00+07:00,R32,Swiss,Aljazair,"BC Place Vancouver, Vancouver"
M086,86,"3 Jul 2026, 18:00, R32",2026-07-04T06:00:00+07:00,2026-07-04T07:40:00+07:00,R32,Argentina,Tanjung Verde,"Miami Stadium, Miami Gardens"
M087,87,"3 Jul 2026, 14:00, R32",2026-07-04T02:00:00+07:00,2026-07-04T03:40:00+07:00,R32,Kolombia,Ghana,"Kansas City Stadium, Kansas City"
M088,88,"3 Jul 2026, 13:00, R32",2026-07-04T01:00:00+07:00,2026-07-04T02:40:00+07:00,R32,Australia,Mesir,"Dallas Stadium, Arlington"
M089,89,"5 Jul 2026, 00:00, R16",2026-07-05T00:00:00+07:00,2026-07-05T01:40:00+07:00,R16,Kanada,Maroko,Houston Stadium
M090,90,"5 Jul 2026, 04:00, R16",2026-07-05T04:00:00+07:00,2026-07-05T05:40:00+07:00,R16,Paraguay,Prancis,Philadelphia Stadium
M091,91,"6 Jul 2026, 03:00, R16",2026-07-06T03:00:00+07:00,2026-07-06T04:40:00+07:00,R16,Brasil,Norwegia,New York/New Jersey Stadium
M092,92,"6 Jul 2026, 07:00, R16",2026-07-06T07:00:00+07:00,2026-07-06T08:40:00+07:00,R16,Meksiko,Inggris,Mexico City Stadium
M093,93,"7 Jul 2026, 02:00, R16",2026-07-07T02:00:00+07:00,2026-07-07T03:40:00+07:00,R16,Portugal,Spanyol,Dallas Stadium
M094,94,"7 Jul 2026, 07:00, R16",2026-07-07T07:00:00+07:00,2026-07-07T08:40:00+07:00,R16,Amerika Serikat,Belgia,Seattle Stadium
M095,95,"7 Jul 2026, 23:00, R16",2026-07-07T23:00:00+07:00,2026-07-08T00:40:00+07:00,R16,Argentina,Mesir,Atlanta Stadium
M096,96,"8 Jul 2026, 03:00, R16",2026-07-08T03:00:00+07:00,2026-07-08T04:40:00+07:00,R16,Swiss,Kolombia,BC Place Vancouver
M097,97,"9 Jul 2026, 15:00, QF",2026-07-10T02:00:00+07:00,2026-07-10T03:40:00+07:00,QF,Maroko,Prancis,"Boston Stadium, Boston"
M098,98,"10 Jul 2026, 12:00, QF",2026-07-11T02:00:00+07:00,2026-07-11T03:40:00+07:00,QF,Spanyol,Belgia,"Los Angeles Stadium, Los Angeles"
M099,99,"11 Jul 2026, 15:00, QF",2026-07-12T02:00:00+07:00,2026-07-12T03:40:00+07:00,QF,Norwegia,Inggris,"Miami Stadium, Miami Gardens"
M100,100,"11 Jul 2026, 18:00, QF",2026-07-12T06:00:00+07:00,2026-07-12T07:40:00+07:00,QF,Argentina,Swiss,"Kansas City Stadium, Kansas City"
M101,101,"14 Jul 2026, 20:00, SF",2026-07-15T07:00:00+07:00,2026-07-15T08:40:00+07:00,SF,TBD,TBD,"Dallas Stadium, Arlington"
M102,102,"15 Jul 2026, 20:00, SF",2026-07-16T07:00:00+07:00,2026-07-16T08:40:00+07:00,SF,TBD,TBD,"Atlanta Stadium, Atlanta"
M104,104,"19 Jul 2026, 15:00, FINAL",2026-07-20T04:00:00+07:00,2026-07-20T05:40:00+07:00,FINAL,TBD,TBD,"New York New Jersey Stadium, New York/New Jersey"
